id,cedulaPostulante,numeroOpcion,nombreCarrera,tipoExamen,fecha,hora,lugar,aula,puntajeObtenido
,1101000000,1,Medicina,ADMISION,2024-11-15,08:00,Campus Utpl,101,63.94
,1101000000,2,Ingenieria Civil,ADMISION,2024-11-15,08:00,Campus Utpl,101,63.94
,1101000001,1,Bioquimica y Farmacia,ADMISION,2024-11-16,09:00,Campus Utpl,102,74.16
,1101000001,2,Psicopedagogia,DIAGNOSTICO,2024-11-16,09:00,Campus Utpl,102,74.16
,1101000002,1,Medicina,ADMISION,2024-11-15,15:00,Campus Utpl,103,22.32
,1101000002,2,Psicologia,ADMISION,2024-11-15,15:00,Campus Utpl,103,22.32
,1101000003,1,Psicologia,ADMISION,2024-11-16,15:00,Campus Utpl,104,10.25
,1101000003,2,Finanzas,DIAGNOSTICO,2024-11-16,15:00,Campus Utpl,104,10.25
,1101000004,1,Biologia,ADMISION,2024-11-15,08:00,Campus Utpl,105,89.22
,1101000004,2,Finanzas,DIAGNOSTICO,2024-11-15,08:00,Campus Utpl,105,89.22
,1101000005,1,Nutricion y Dietetica,ADMISION,2024-11-16,08:00,Campus Utpl,106,59.05
,1101000005,2,Geologia,ADMISION,2024-11-16,08:00,Campus Utpl,106,59.05
,1101000006,1,Comunicacion,DIAGNOSTICO,2024-11-15,09:00,Campus Utpl,107,2.98
,1101000006,2,Nutricion y Dietetica,ADMISION,2024-11-15,09:00,Campus Utpl,107,2.98
,1101000007,1,Telecomunicaciones,ADMISION,2024-11-16,14:00,Campus Utpl,108,23.27
,1101000007,2,Ingenieria Ambiental,ADMISION,2024-11-16,14:00,Campus Utpl,108,23.27
,1101000008,1,Bioquimica y Farmacia,ADMISION,2024-11-15,09:00,Campus Utpl,109,2.65
,1101000008,2,Finanzas,DIAGNOSTICO,2024-11-15,09:00,Campus Utpl,109,2.65
,1101000009,1,Ingenieria Ambiental,ADMISION,2024-11-16,15:00,Campus Utpl,110,71.6
,1101000009,2,Geologia,ADMISION,2024-11-16,15:00,Campus Utpl,110,71.6
,1101000010,1,Psicopedagogia,DIAGNOSTICO,2024-11-15,09:00,Campus Utpl,111,54.49
,1101000010,2,Artes Escenicas,DIAGNOSTICO,2024-11-15,09:00,Campus Utpl,111,54.49
,1101000011,1,Pedagogia de los Idiomas Nac. y Ext.,ADMISION,2024-11-16,10:00,Campus Utpl,112,44.92
,1101000011,2,Educacion Basica,DIAGNOSTICO,2024-11-16,10:00,Campus Utpl,112,44.92
,1101000012,1,Economia,DIAGNOSTICO,2024-11-15,08:00,Campus Utpl,113,80.94
,1101000012,2,Telecomunicaciones,ADMISION,2024-11-15,08:00,Campus Utpl,113,80.94
,1101000013,1,Artes Visuales,DIAGNOSTICO,2024-11-16,09:00,Campus Utpl,114,75.88
,1101000013,2,Biologia,ADMISION,2024-11-16,09:00,Campus Utpl,114,75.88
,1101000014,1,Psicologia Clinica,ADMISION,2024-11-15,10:00,Campus Utpl,115,69.81
,1101000014,2,Marketing,DIAGNOSTICO,2024-11-15,10:00,Campus Utpl,115,69.81
,1101000015,1,Agropecuaria,DIAGNOSTICO,2024-11-16,09:00,Campus Utpl,116,27.79
,1101000015,2,Psicopedagogia,DIAGNOSTICO,2024-11-16,09:00,Campus Utpl,116,27.79
,1101000016,1,Bioquimica y Farmacia,ADMISION,2024-11-15,10:00,Campus Utpl,117,95.72
,1101000016,2,Ingenieria en Sistemas Computacionales,ADMISION,2024-11-15,10:00,Campus Utpl,117,95.72
,1101000017,1,Psicopedagogia,DIAGNOSTICO,2024-11-16,11:00,Campus Utpl,118,10.22
,1101000017,2,Bioquimica y Farmacia,ADMISION,2024-11-16,11:00,Campus Utpl,118,10.22
,1101000018,1,Telecomunicaciones,ADMISION,2024-11-15,10:00,Campus Utpl,119,9.67
,1101000018,2,Medicina,ADMISION,2024-11-15,10:00,Campus Utpl,119,9.67
,1101000019,1,Ingenieria Civil,ADMISION,2024-11-16,08:00,Campus Utpl,120,60.37
,1101000019,2,Pedagogia de los Idiomas Nac. y Ext.,ADMISION,2024-11-16,08:00,Campus Utpl,120,60.37
,1101000020,1,Ciencias Politicas y Rel. Internacionales,DIAGNOSTICO,2024-11-15,14:00,Campus Utpl,121,72.97
,1101000020,2,Ingenieria en Sistemas Computacionales,ADMISION,2024-11-15,14:00,Campus Utpl,121,72.97
,1101000021,1,Psicopedagogia,DIAGNOSTICO,2024-11-16,11:00,Campus Utpl,122,12.48
,1101000021,2,Contabilidad y Auditoria,DIAGNOSTICO,2024-11-16,11:00,Campus Utpl,122,12.48
,1101000022,1,Medicina,ADMISION,2024-11-15,10:00,Campus Utpl,123,7.88
,1101000022,2,Pedagogia de los Idiomas Nac. y Ext.,ADMISION,2024-11-15,10:00,Campus Utpl,123,7.88
,1101000023,1,Enfermeria,ADMISION,2024-11-16,14:00,Campus Utpl,124,82.94
,1101000023,2,Finanzas,DIAGNOSTICO,2024-11-16,14:00,Campus Utpl,124,82.94
,1101000024,1,Ingenieria Civil,ADMISION,2024-11-15,10:00,Campus Utpl,125,88.55
,1101000024,2,Comunicacion,DIAGNOSTICO,2024-11-15,10:00,Campus Utpl,125,88.55
,1101000025,1,Finanzas,DIAGNOSTICO,2024-11-16,15:00,Campus Utpl,126,57.74
