cedula,nombre,opcion1,opcion2,modalidad,esAbanderado,bachilleratoAfin,capacidadEspecial,porcentajeCapacidadEspecial,esBachiller
1101000000,Manuel Torres,Medicina,Ingenieria Civil,PRESENCIAL,0,0,0,0,0
1101000001,Adriana Fuentes,Bioquimica y Farmacia,Psicopedagogia,PRESENCIAL,0,1,0,0,0
1101000002,Gabriel Salazar,Medicina,Psicologia,PRESENCIAL,0,0,0,0,0
1101000003,Miguel Vega,Psicologia,Finanzas,PRESENCIAL,0,1,0,0,0
1101000004,Javier Romero,Biologia,Finanzas,PRESENCIAL,0,0,0,0,0
1101000005,Sofia Medina,Nutricion y Dietetica,Geologia,PRESENCIAL,0,0,0,0,0
1101000006,Raul Delgado,Comunicacion,Nutricion y Dietetica,PRESENCIAL,0,0,0,0,0
1101000007,Manuel Ibarra,Telecomunicaciones,Ingenieria Ambiental,PRESENCIAL,0,0,1,43,0
1101000008,Elena Diaz,Bioquimica y Farmacia,Finanzas,PRESENCIAL,0,0,0,0,0
1101000009,Fernanda Flores,Ingenieria Ambiental,Geologia,PRESENCIAL,0,0,0,0,0
1101000010,Beatriz Rodriguez,Psicopedagogia,Artes Escenicas,PRESENCIAL,0,0,0,0,0
1101000011,Alejandro Silva,Pedagogia de los Idiomas Nac. y Ext.,Educacion Basica,PRESENCIAL,0,0,0,0,0
1101000012,Elena Martinez,Economia,Telecomunicaciones,PRESENCIAL,1,0,0,0,0
1101000013,Isabella Molina,Artes Visuales,Biologia,PRESENCIAL,0,0,0,0,0
1101000014,Beatriz Delgado,Psicologia Clinica,Marketing,PRESENCIAL,0,0,0,0,0
1101000015,Sandra Cabrera,Agropecuaria,Psicopedagogia,PRESENCIAL,0,0,0,0,0
1101000016,Gabriel Soto,Bioquimica y Farmacia,Ingenieria en Sistemas Computacionales,PRESENCIAL,1,1,0,0,0
1101000017,Adriana Romero,Psicopedagogia,Bioquimica y Farmacia,PRESENCIAL,0,0,0,0,0
1101000018,Sebastian Aguirre,Telecomunicaciones,Medicina,PRESENCIAL,0,1,0,0,0
1101000019,Hector Silva,Ingenieria Civil,Pedagogia de los Idiomas Nac. y Ext.,PRESENCIAL,0,0,0,0,0
1101000020,Juan Ortiz,Ciencias Politicas y Rel. Internacionales,Ingenieria en Sistemas Computacionales,PRESENCIAL,0,0,0,0,0
1101000021,Natalia Contreras,Psicopedagogia,Contabilidad y Auditoria,PRESENCIAL,0,0,0,0,0
1101000022,Elena Ramos,Medicina,Pedagogia de los Idiomas Nac. y Ext.,PRESENCIAL,0,1,0,0,0
1101000023,Natalia Castillo,Enfermeria,Finanzas,PRESENCIAL,0,0,0,0,0
1101000024,Andrea Rodriguez,Ingenieria Civil,Comunicacion,PRESENCIAL,0,1,0,0,0
1101000025,Silvia Flores,Finanzas,Comunicacion,PRESENCIAL,0,0,0,0,0
1101000026,Daniel Reyes,Artes Visuales,Marketing,PRESENCIAL,0,0,0,0,0
1101000027,Carolina Vega,Nutricion y Dietetica,Finanzas,PRESENCIAL,0,0,0,0,0
1101000028,Miguel Cabrera,Economia,Medicina,PRESENCIAL,0,0,0,0,0
1101000029,Carlos Jimenez,Bioquimica y Farmacia,Comunicacion,PRESENCIAL,0,0,0,0,0
1101000030,Diego Molina,Psicologia,Derecho,PRESENCIAL,0,0,0,0,0
1101000031,Pedro Fernandez,Artes Escenicas,Agropecuaria,PRESENCIAL,0,0,0,0,0
1101000032,Ana Fernandez,Enfermeria,Agropecuaria,PRESENCIAL,0,0,0,0,0
1101000033,Jorge Reyes,Comunicacion,Alimentos,PRESENCIAL,0,0,0,0,0
1101000034,Luis Vega,Ingenieria en Sistemas Computacionales,Comunicacion,PRESENCIAL,0,0,0,0,0
1101000035,Juan Gonzalez,Ingenieria Civil,Economia,PRESENCIAL,0,0,0,0,0
1101000036,Monica Martinez,Administracion de Empresas,Agropecuaria,PRESENCIAL,1,0,0,0,0
1101000037,Lucia Diaz,Agropecuaria,Educacion Basica,PRESENCIAL,0,0,0,0,0
1101000038,Lorena Soto,Psicologia Clinica,Economia,PRESENCIAL,0,0,0,0,0
1101000039,Daniel Martinez,Educacion Basica,Biologia,PRESENCIAL,0,0,0,0,0
1101000040,Carolina Flores,Enfermeria,Comunicacion,PRESENCIAL,0,0,0,0,0
1101000041,Adriana Castillo,Geologia,Nutricion y Dietetica,PRESENCIAL,0,0,0,0,0
1101000042,Carlos Ibarra,Bioquimica y Farmacia,Alimentos,PRESENCIAL,0,0,0,0,0
1101000043,Sebastian Cruz,Artes Escenicas,Educacion Basica,PRESENCIAL,0,0,0,0,0
1101000044,Beatriz Herrera,Alimentos,Biologia,PRESENCIAL,0,0,1,55,0
1101000045,Antonio Fernandez,Bioquimica y Farmacia,Psicologia,PRESENCIAL,0,0,0,0,0
1101000046,Luis Castillo,Ingenieria Ambiental,Marketing,PRESENCIAL,0,0,0,0,0
1101000047,Claudia Ramos,Medicina,Artes Visuales,PRESENCIAL,0,0,0,0,0
1101000048,Diego Ortiz,Nutricion y Dietetica,Psicologia Clinica,PRESENCIAL,0,0,0,0,0
1101000049,Isabella Jimenez,Contabilidad y Auditoria,Artes Visuales,PRESENCIAL,0,0,0,0,0
1101000050,Ana Gonzalez,Pedagogia de los Idiomas Nac. y Ext.,Agropecuaria,PRESENCIAL,0,1,0,0,0
1101000051,Diego Ortiz,Administracion de Empresas,Ingenieria Civil,PRESENCIAL,0,0,0,0,0
1101000052,Laura Rodriguez,Artes Visuales,Psicologia Clinica,PRESENCIAL,0,0,0,0,0
1101000053,Valeria Romero,Psicologia Clinica,Enfermeria,PRESENCIAL,0,0,0,0,0
1101000054,Carlos Ruiz,Contabilidad y Auditoria,Artes Visuales,PRESENCIAL,0,1,0,0,0
1101000055,Roberto Ibarra,Educacion Basica,Psicologia Clinica,PRESENCIAL,0,0,0,0,0
1101000056,Camila Castro,Medicina,Contabilidad y Auditoria,PRESENCIAL,0,0,0,0,0
1101000057,Pablo Castillo,Finanzas,Administracion de Empresas,PRESENCIAL,0,1,0,0,0
1101000058,Fernando Vargas,Contabilidad y Auditoria,Telecomunicaciones,PRESENCIAL,0,0,0,0,0
1101000059,Miguel Vargas,Medicina,Artes Visuales,PRESENCIAL,0,0,0,0,0
1101000060,Elena Silva,Ingenieria Ambiental,Artes Escenicas,PRESENCIAL,0,0,0,0,0
1101000061,Paola Lopez,Nutricion y Dietetica,Marketing,PRESENCIAL,0,0,0,0,0
1101000062,Pedro Salazar,Agropecuaria,Ingenieria Ambiental,PRESENCIAL,0,0,0,0,0
1101000063,Gabriel Torres,Geologia,Psicopedagogia,PRESENCIAL,0,1,0,0,0
